longname,shortnam,step,mort,mort2,logmort0,logmort2,risk,loggdp,campaign,campaign2,source0,source2,slave,latitude,neoeuro,asia,africa,other,rainmin,meantemp,edes1975,malaria,nafrica,other2,asiae_bl,laam_bl,oecd_bl,safrica_bl,col_fr,col_uk,cons90,lado1995,urb1500,pd1500,bishops,epidemic,notsoudan,ajr_ead,inconsis,new_data,mort_bis,mort_set
Cote d'Ivoire,CIV,3.0,668.0,668.0,6.504288196563721,6.504288196563721,7.0,7.440000057220459,1.0,1.0,0.0,0.0,0.0,0.08889999985694885,0.0,0.0,1.0,0.0,41.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,,4.230000019073486,0.0,1.0,0.0,0.0,0.0,0.0,,
Cameroon,CMR,3.0,280.0,280.0,5.63478946685791,5.63478946685791,6.449999809265137,7.5,1.0,1.0,0.0,0.0,0.0,0.06669999659061432,0.0,0.0,1.0,0.0,23.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,,1.5,0.0,0.0,1.0,0.0,0.0,0.0,,
Congo,COG,2.0,240.0,240.0,5.4806389808654785,5.4806389808654785,4.679999828338623,7.420000076293945,0.0,0.0,1.0,1.0,1.0,0.011099999770522118,0.0,0.0,1.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,,1.5,0.0,0.0,0.0,1.0,0.0,0.0,,
Colombia,COL,4.0,71.0,71.0,4.2626800537109375,4.2626800537109375,7.320000171661377,8.8100004196167,1.0,1.0,0.0,0.0,0.0,0.04439999908208847,0.0,0.0,0.0,0.0,51.0,14.0,25.0,0.261694997549057,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,7.940000057220459,0.9627419114112854,1.0,0.0,0.0,0.0,0.0,0.0,16.700000762939453,
Costa Rica,CRI,4.0,78.0999984741211,78.0999984741211,4.357990264892578,4.357990264892578,7.050000190734863,8.789999961853027,1.0,1.0,0.0,0.0,0.0,0.11110000312328339,0.0,0.0,0.0,0.0,5.0,21.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,4.0,9.199999809265137,1.5399999618530273,1.0,0.0,0.0,0.0,0.0,0.0,17.5,
Dominican Re,DOM,3.0,130.0,130.0,4.867534637451172,4.867534637451172,6.179999828338623,8.359999656677246,0.0,0.0,0.0,0.0,0.0,0.2110999971628189,0.0,0.0,0.0,0.0,36.0,26.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,4.0,3.0,1.4600000381469727,0.0,0.0,0.0,0.0,0.0,0.0,,
Algeria,DZA,1.0,78.19999694824219,15.000009536743164,4.359269618988037,2.7080507278442383,6.5,8.390000343322754,1.0,0.0,1.0,1.0,0.0,0.3111000061035156,0.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,13.970000267028809,6.997684955596924,0.0,0.0,0.0,1.0,1.0,0.0,,
Ecuador,ECU,4.0,71.0,71.0,4.2626800537109375,4.2626800537109375,6.550000190734863,8.470000267028809,1.0,1.0,0.0,0.0,0.0,0.022199999541044235,0.0,0.0,0.0,0.0,20.0,15.0,30.000001907348633,0.195373997092247,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,4.0,10.619999885559082,2.1673169136047363,1.0,0.0,0.0,0.0,0.0,0.0,16.700000762939453,
Egypt,EGY,2.0,67.80000305175781,32.599998474121094,4.216562271118164,3.4843122959136963,6.769999980926514,7.949999809265137,1.0,0.0,1.0,1.0,0.0,0.30000001192092896,0.0,0.0,1.0,0.0,0.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,14.569999694824219,100.45708465576172,0.0,0.0,0.0,1.0,1.0,0.0,,
Ethiopia,ETH,2.0,26.0,26.0,3.25809645652771,3.25809645652771,5.730000019073486,6.110000133514404,1.0,1.0,1.0,1.0,0.0,0.08889999985694885,0.0,0.0,1.0,0.0,5.0,17.0,0.0,0.5806270241737366,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,,6.666666507720947,0.0,0.0,0.0,1.0,0.0,0.0,,
Gabon,GAB,3.0,280.0,280.0,5.63478946685791,5.63478946685791,7.820000171661377,8.899999618530273,1.0,1.0,0.0,0.0,0.0,0.011099999770522118,0.0,0.0,1.0,0.0,3.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,,1.5,0.0,0.0,1.0,1.0,0.0,0.0,,
Ghana,GHA,3.0,668.0,668.0,6.504288196563721,6.504288196563721,6.269999980926514,7.369999885559082,1.0,1.0,1.0,1.0,0.0,0.08889999985694885,0.0,0.0,1.0,0.0,15.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,,4.230000019073486,0.0,1.0,0.0,0.0,0.0,0.0,,
Guinea,GIN,3.0,483.0,,6.18001651763916,,6.550000190734863,7.489999771118164,1.0,1.0,0.0,0.0,0.0,0.12219999730587006,0.0,0.0,1.0,0.0,3.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,,4.230000019073486,0.0,1.0,0.0,0.0,0.0,0.0,,
Gambia,GMB,2.0,1470.0,1470.0,7.293017864227295,7.293017864227295,8.270000457763672,7.269999980926514,1.0,1.0,1.0,1.0,0.0,0.147599995136261,0.0,0.0,1.0,0.0,0.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,5.0,,4.230000019073486,0.0,1.0,0.0,1.0,0.0,0.0,,
Guatemala,GTM,4.0,71.0,71.0,4.2626800537109375,4.2626800537109375,5.139999866485596,8.289999961853027,1.0,1.0,0.0,0.0,0.0,0.17000000178813934,0.0,0.0,0.0,0.0,3.0,19.0,20.0,0.01536799967288971,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,9.199999809265137,1.540000081062317,1.0,0.0,0.0,0.0,0.0,0.0,16.700000762939453,
Guyana,GUY,1.0,32.18000030517578,4.430816650390625,3.4713451862335205,1.4885839223861694,5.889999866485596,7.900000095367432,0.0,0.0,0.0,1.0,0.0,0.05559999868273735,0.0,0.0,0.0,0.0,76.0,27.0,2.0,0.5083630084991455,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.21299999952316284,0.0,0.0,0.0,1.0,0.0,0.0,,
Hong Kong,HKG,3.0,14.899999618530273,5.652489185333252,2.7013611793518066,1.7320959568023682,8.140000343322754,10.050000190734863,0.0,0.0,0.0,1.0,0.0,0.24609999358654022,0.0,1.0,0.0,0.0,31.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,6.0,3.0,0.08734460175037384,0.0,0.0,0.0,0.0,0.0,0.0,,
